Column1,Unnamed: 0,클럽명,선수명,출전 경기,득점,도움,공격 지역 패스,중앙 지역 패스,수비 지역 패스,태클,클리어링,인터셉트,차단,획득,블락,SHO,DRI,PHY,LOP,SHP,TAK,Position,Role,Detailed Role,url
499,499,전남,박성결,5,1,1,58,85,22,18,5,10,15,26,17,60,25,36,82,76,17,FW,WF,Wide Threat,https://www.youtube.com/watch?v=lIr341H1QlY
500,500,전남,임찬울,19,5,5,292,267,90,34,31,38,19,114,41,65,50,45,79,85,32,FW,WF,Wide Threat,https://www.youtube.com/watch?v=J0DYV66OGV8
501,501,전남,김태현,38,1,2,293,1011,410,113,195,177,95,205,98,52,38,61,70,87,43,DF,FB,Safety,https://www.youtube.com/watch?v=v1ZwpfqFTm0
502,502,전남,최호정,4,0,0,3,92,64,10,20,8,11,7,10,0,0,71,83,94,30,DF,CB,SCB,
503,503,전남,장순혁,19,0,0,38,428,405,20,151,78,25,52,45,29,0,61,86,91,40,DF,CB,Spreader,https://www.youtube.com/watch?v=CdOVFZTpR7A
504,504,전북,강상윤,6,0,0,42,94,8,24,2,5,13,20,13,38,67,38,78,87,29,MF,CDM,Builder,https://www.youtube.com/watch?v=sEIhHaU6rCo
505,505,전북,구스타보,22,8,4,217,252,27,23,38,16,14,72,15,62,46,58,65,67,26,FW,CF,Roamer,https://www.youtube.com/watch?v=CxahhHwxb1U
506,506,전북,구자룡,8,1,0,4,245,169,8,44,36,11,23,15,50,0,74,89,92,38,DF,CB,Aggressor,https://www.youtube.com/watch?v=ETgu6Fahk2M
507,507,전북,백승호,29,2,5,247,1160,371,65,106,112,65,175,68,53,42,63,89,88,34,MF,CAM,Creator,https://www.youtube.com/watch?v=8_bw5tBxb-Y&t=1s
508,508,전북,박진섭,32,2,0,35,1086,734,60,226,134,70,93,77,80,0,69,91,94,33,DF,CB,Aggressor,https://www.youtube.com/watch?v=DL0SZsu5G9o
509,509,전북,이승기,6,0,1,67,231,65,18,12,21,10,52,14,33,100,45,91,86,11,MF,CAM,Box crasher,https://www.youtube.com/watch?v=-Dof3LtGFWQ
510,510,전북,박진성,6,0,0,52,126,69,8,23,25,12,20,22,50,25,62,63,83,25,DF,FB,Safety,https://www.youtube.com/watch?v=ZDO5EHsQn5c
511,511,전북,홍정호,18,1,2,20,719,461,34,148,98,32,53,60,50,0,64,89,93,41,DF,CB,Aggressor,https://www.youtube.com/watch?v=3kOYsxol2mI
512,512,전북,최철순,12,0,0,139,367,134,28,42,35,25,59,33,33,60,50,78,88,32,DF,FB,Safety,https://www.youtube.com/watch?v=se-yqJv2uSU
513,513,전북,이범수,3,0,0,0,0,117,0,4,19,1,7,0,0,0,0,70,100,0,GK,GK,Goalkeeper,
514,514,전북,최보경,5,0,0,12,230,169,8,25,22,12,21,8,0,0,62,92,97,12,DF,CB,Aggressor,https://www.youtube.com/watch?v=Mx_5McEWTdk
515,515,전북,송민규,17,3,3,226,170,30,39,8,13,13,76,20,59,38,33,79,81,41,FW,CF,Target,https://www.youtube.com/watch?v=8Mw1uJthJQs
516,516,전북,한교원,11,5,0,129,105,16,18,4,12,6,47,26,50,42,47,84,80,50,FW,WF,Wide Threat,https://www.youtube.com/watch?v=iM-zQExBQG8
517,517,전북,송범근,37,0,0,7,4,1045,1,33,137,0,55,8,0,0,0,70,100,0,GK,GK,Goalkeeper,https://www.youtube.com/watch?v=YkgzQ-01GeA
518,518,전북,쿠니모토,12,4,1,195,483,84,33,19,25,21,86,12,64,29,45,78,87,39,FW,WF,Unlocker,https://www.youtube.com/watch?v=QtCaijrpLuM
519,519,전북,류재문,18,1,1,107,601,228,51,57,52,36,98,47,50,0,57,88,89,35,MF,CAM,Creator,https://www.youtube.com/watch?v=XUXJDIcWrh4
520,520,전북,김보경,17,2,3,240,350,66,42,15,31,20,104,26,68,44,45,83,84,24,FW,WF,Unlocker,https://www.youtube.com/watch?v=B7AcGWDy_YY
521,521,전북,김진수,29,2,3,295,738,246,45,80,106,58,128,64,45,29,59,74,90,38,DF,FB,Safety,https://www.youtube.com/watch?v=rh5m_nKqozM
522,522,전북,김진규,21,2,1,229,699,136,35,39,44,38,121,44,44,17,34,85,89,26,MF,CDM,Box to Box,https://www.youtube.com/watch?v=Dx2_wJI1M7c
523,523,전북,바로우,23,13,6,246,192,37,32,19,13,31,97,36,67,45,41,84,82,41,FW,WF,Wide Threat,https://www.youtube.com/watch?v=vLwi-Z0Wf_k
524,524,전북,조규성,28,17,5,321,351,24,17,39,24,1,111,14,69,33,47,84,78,29,FW,CF,Roamer,https://www.youtube.com/watch?v=al7MOYnUm4E
525,525,전북,이용,20,0,2,175,744,277,52,72,69,63,87,41,33,57,64,77,90,42,DF,FB,Progressor,https://www.youtube.com/watch?v=hw81AZMaarA
526,526,전북,윤영선,18,0,0,8,426,416,18,109,54,24,42,41,33,0,57,90,94,28,DF,CB,Aggressor,https://www.youtube.com/watch?v=mm88zWuwLEA
527,527,전북,맹성웅,14,0,2,93,451,119,48,39,44,37,79,25,67,56,61,86,84,42,MF,CAM,Box crasher,https://www.youtube.com/watch?v=LspfMsgabZc
528,528,전북,김문환,27,1,2,353,745,250,65,64,83,48,132,72,58,23,42,78,91,28,DF,FB,Safety,https://www.youtube.com/watch?v=6A9c7Gidhsw
529,529,전북,박규민,3,1,0,22,34,6,5,4,9,8,15,9,80,0,48,71,69,40,DF,CB,SCB,
530,530,전북,문선민,11,1,2,126,100,8,21,5,11,8,45,10,76,31,34,85,82,14,FW,WF,Wide Threat,https://www.youtube.com/watch?v=0hdluuPHvw8
531,531,제주,김봉수,29,0,1,223,1296,415,80,92,143,82,137,81,0,50,54,88,95,38,MF,CAM,Creator,https://www.youtube.com/watch?v=UXCwyMASLY4
532,532,제주,유연수,2,0,0,0,5,49,0,0,14,0,10,0,0,0,0,63,100,0,GK,GK,Goalkeeper,
533,533,제주,김오규,30,1,0,91,1360,563,50,199,176,55,132,87,17,67,62,87,94,50,DF,CB,Aggressor,https://www.youtube.com/watch?v=QO09VEzF7Lk
534,534,제주,김동준,33,0,0,0,25,873,2,28,151,3,72,6,0,0,0,56,99,50,GK,GK,Goalkeeper,https://www.youtube.com/watch?v=Y94wxollYXg
535,535,제주,윤빛가람,12,3,2,164,595,86,24,11,42,24,96,30,71,33,47,87,86,42,MF,CDM,Distributor,https://www.youtube.com/watch?v=lh0XhlKRMAk
536,536,제주,이창민,28,3,4,450,1218,104,54,25,63,39,205,46,53,65,45,79,89,41,MF,CDM,Distributor,https://www.youtube.com/watch?v=CA-VNHwLuxA
537,537,제주,이지솔,4,0,0,22,142,27,9,25,15,18,14,11,100,0,56,80,92,22,MF,CAM,Creator,
538,538,제주,김주공,17,5,4,200,167,26,28,8,20,21,96,16,72,33,47,82,81,29,FW,WF,Wide Threat,https://www.youtube.com/watch?v=NyfsxQF9bSM
539,539,제주,변경준,2,0,0,32,37,8,10,6,4,2,17,6,0,100,26,86,89,30,FW,WF,Unlocker,
540,540,제주,한종무,6,1,0,49,158,17,20,5,8,10,32,8,80,75,50,90,84,25,MF,CDM,Box to Box,https://www.youtube.com/watch?v=sOlUASTy9ss
541,541,제주,서진수,15,5,0,178,236,34,48,18,24,13,65,18,55,34,52,76,81,35,FW,WF,Wide Threat,https://www.youtube.com/watch?v=ZLx2UUn9HtQ
542,542,제주,구자철,2,1,1,35,95,23,7,2,5,4,22,1,62,0,69,89,88,29,MF,CDM,Distributor,
543,543,제주,김명순,4,0,0,86,129,40,15,7,12,12,26,15,0,60,48,71,86,53,FW,WF,Unlocker,
